src,dst,type
erosan3edsa,discosbeagle,mention
erosan3edsa,traficogt,mention
erosan3edsa,discosbeagle,reply
eedlb,cc_guatemala,mention
eedlb,ep_investiga,mention
eedlb,traficogt,mention
eedlb,ep_investiga,reply
sergio27101799,diegoespana_,mention
sergio27101799,traficogt,mention
sergio27101799,diegoespana_,reply
florydeprez2,amilcarmontejo,mention
florydeprez2,traficogt,mention
florydeprez2,amilcarmontejo,reply
gagarcias3371,factor4_gt,mention
gagarcias3371,traficogt,mention
gagarcias3371,factor4_gt,reply
bbccss6566,mmendoza_gt,mention
bbccss6566,mpguatemala,mention
bbccss6566,traficogt,mention
bbccss6566,mmendoza_gt,reply
roanchi2,ricigt1,mention
roanchi2,traficogt,mention
roanchi2,ricigt1,reply
batallonjalapa,hshetemul,mention
batallonjalapa,traficogt,mention
batallonjalapa,hshetemul,reply
riveradanziger,prensacomunitar,mention
riveradanziger,traficogt,mention
riveradanziger,prensacomunitar,reply
papaabumario,domingo94096837,mention
papaabumario,traficogt,mention
papaabumario,domingo94096837,reply
jl2maeu,domingo94096837,mention
jl2maeu,traficogt,mention
jl2maeu,domingo94096837,reply
canalantigua,canalantigua,reply
edgarov8,republicagt,mention
edgarov8,traficogt,mention
edgarov8,republicagt,reply
byron96324753,allanerodriguez,mention
byron96324753,traficogt,mention
byron96324753,traficogt,reply
comunicalord,justiciayagt,mention
comunicalord,traficogt,mention
comunicalord,justiciayagt,reply
emanuelengt,comunicalord,mention
emanuelengt,justiciayagt,mention
emanuelengt,traficogt,mention
emanuelengt,comunicalord,reply
deleagew,allanerodriguez,mention
deleagew,byron96324753,mention
deleagew,traficogt,mention
deleagew,byron96324753,reply
diicesare,traficogt,mention
diicesare,traficogt,reply
mms_2019,amilcarmontejo,mention
mms_2019,traficogt,mention
etelargueta,traficogt,mention
etelargueta,wergabriel,mention
etelargueta,wergabriel,reply
julioaroldan1,el_periodico,mention
julioaroldan1,traficogt,mention
julioaroldan1,el_periodico,reply
alberthmenendez,lahoragt,mention
alberthmenendez,traficogt,mention
alberthmenendez,lahoragt,reply
cedr2506,el_periodico,mention
cedr2506,traficogt,mention
cedr2506,el_periodico,reply
cedr2506,congresoguate,mention
cedr2506,el_periodico,mention
cedr2506,jodyreporta,mention
cedr2506,traficogt,mention
cedr2506,jodyreporta,reply
florydeprez2,amilcarmontejo,mention
florydeprez2,guate_inmortal_,mention
florydeprez2,muniguate,mention
florydeprez2,pncdeguatemala,mention
florydeprez2,rquinonezl,mention
florydeprez2,traficogt,mention
florydeprez2,amilcarmontejo,reply
honor182,aldodavila_gt,mention
honor182,bomberosmuni,mention
honor182,bvoluntariosgt,mention
honor182,factor4_gt,mention
honor182,munivillanueva,mention
honor182,soy_502,mention
honor182,traficogt,mention
carlosrubioair,amilcarmontejo,mention
carlosrubioair,muniguate,mention
carlosrubioair,traficogt,mention
carlosrubioair,amilcarmontejo,reply
donnerorlando,traficogt,mention
donnerorlando,vichoguate,mention
alekssaquiquel,provialoficial,mention
alekssaquiquel,traficogt,mention
alekssaquiquel,vichoguate,mention
nilrilesor,conapgt,mention
nilrilesor,cubreserva,mention
nilrilesor,emisorasunidas,mention
nilrilesor,guatevision_tv,mention
nilrilesor,inabguatemala,mention
nilrilesor,lfernandab,mention
nilrilesor,magaguatemala,mention
nilrilesor,marnguate,mention
nilrilesor,muniguate,mention
nilrilesor,pattyo502,mention
nilrilesor,traficogt,mention
nilrilesor,cubreserva,reply
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,aztecaguate,mention
alejandro2024gt,noti7guatemala,mention
alejandro2024gt,traficogt,mention
alejandro2024gt,amilcarmontejo,reply
batallonjalapa,alterlego502,mention
batallonjalapa,traficogt,mention
batallonjalapa,alterlego502,reply
batallonjalapa,alterlego502,mention
batallonjalapa,traficogt,mention
batallonjalapa,alterlego502,reply
german49572585,alterlego502,mention
german49572585,traficogt,mention
german49572585,alterlego502,reply
geoneogt,minecogt,mention
geoneogt,traficogt,mention
geoneogt,minecogt,reply
mpguatemala,mpguatemala,reply
florydeprez2,amilcarmontejo,mention
florydeprez2,dtransitopnc,mention
florydeprez2,muniguate,mention
florydeprez2,rquinonezl,mention
florydeprez2,traficogt,mention
florydeprez2,amilcarmontejo,reply
honor182,pmtmuniguate,mention
honor182,traficogt,mention
luisassardo,alvaroarzue,mention
papaabumario,lahoragt,mention
papaabumario,traficogt,mention
papaabumario,lahoragt,reply
papaabumario,lahoragt,mention
papaabumario,traficogt,mention
papaabumario,lahoragt,reply
papaabumario,traficogt,mention
papaabumario,traficogt,reply
georgecamposb,manfredoguate,mention
georgecamposb,traficogt,mention
georgecamposb,manfredoguate,reply
georgecamposb,lahoragt,mention
georgecamposb,ricigt1,mention
georgecamposb,traficogt,mention
georgecamposb,ricigt1,reply
traficogt,minecogt,mention
traficogt,nayibbukele,mention
traficogt,sdehonduras,mention
villatoromilton,samuel_pz,mention
villatoromilton,traficogt,mention
villatoromilton,samuel_pz,reply
yadimonzon,betocardonam,mention
yadimonzon,traficogt,mention
yadimonzon,betocardonam,reply
byrea10,betocardonam,mention
byrea10,traficogt,mention
byrea10,betocardonam,reply
ger0930,elbencho_gt,mention
ger0930,mpguatemala,mention
ger0930,traficogt,mention
ger0930,elbencho_gt,reply
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,noti7guatemala,mention
alejandro2024gt,traficogt,mention
alejandro2024gt,amilcarmontejo,reply
silviajcalderon,samuel_pz,mention
silviajcalderon,traficogt,mention
silviajcalderon,samuel_pz,reply
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,aztecaguate,mention
alejandro2024gt,noti7guatemala,mention
alejandro2024gt,nuestrodiario,mention
alejandro2024gt,traficogt,mention
alejandro2024gt,amilcarmontejo,reply
papaabumario,mpguatemala,mention
papaabumario,quiquegodoy,mention
papaabumario,traficogt,mention
papaabumario,quiquegodoy,reply
julioaroldan1,jsandoval1982,mention
julioaroldan1,traficogt,mention
julioaroldan1,jsandoval1982,reply
vasquezoj1,prensacomunitar,mention
vasquezoj1,traficogt,mention
vasquezoj1,prensacomunitar,reply
cubreserva,conapgt,mention
cubreserva,emisorasunidas,mention
cubreserva,guatevision_tv,mention
cubreserva,hfmarisol,mention
cubreserva,hshetemul,mention
cubreserva,inabguatemala,mention
cubreserva,isapaiz_,mention
cubreserva,marnguate,mention
cubreserva,nilrilesor,mention
cubreserva,pattyo502,mention
cubreserva,pedgar05,mention
cubreserva,pialaperiodista,mention
cubreserva,publinewsgt,mention
cubreserva,ricigt1,mention
cubreserva,samuel_pz,mention
cubreserva,soy_502,mention
cubreserva,traficogt,mention
cubreserva,hfmarisol,reply
cubreserva,conapgt,mention
cubreserva,emisorasunidas,mention
cubreserva,guatevision_tv,mention
cubreserva,hfmarisol,mention
cubreserva,hshetemul,mention
cubreserva,inabguatemala,mention
cubreserva,isapaiz_,mention
cubreserva,marnguate,mention
cubreserva,nilrilesor,mention
cubreserva,pattyo502,mention
cubreserva,pedgar05,mention
cubreserva,pialaperiodista,mention
cubreserva,publinewsgt,mention
cubreserva,ricigt1,mention
cubreserva,samuel_pz,mention
cubreserva,soy_502,mention
cubreserva,traficogt,mention
cubreserva,cubreserva,reply
florydeprez2,amilcarmontejo,mention
florydeprez2,dtransitopnc,mention
florydeprez2,guate_inmortal_,mention
florydeprez2,muniguate,mention
florydeprez2,pncdeguatemala,mention
florydeprez2,rquinonezl,mention
florydeprez2,traficogt,mention
florydeprez2,amilcarmontejo,reply
nilrilesor,conapgt,mention
nilrilesor,cubreserva,mention
nilrilesor,emisorasunidas,mention
nilrilesor,guatevision_tv,mention
nilrilesor,hfmarisol,mention
nilrilesor,hshetemul,mention
nilrilesor,inabguatemala,mention
nilrilesor,isapaiz_,mention
nilrilesor,marnguate,mention
nilrilesor,pattyo502,mention
nilrilesor,pedgar05,mention
nilrilesor,pialaperiodista,mention
nilrilesor,publinewsgt,mention
nilrilesor,ricigt1,mention
nilrilesor,samuel_pz,mention
nilrilesor,soy_502,mention
nilrilesor,traficogt,mention
nilrilesor,cubreserva,reply
mariabonita9697,conapgt,mention
mariabonita9697,congresoguate,mention
mariabonita9697,cubreserva,mention
mariabonita9697,emisorasunidas,mention
mariabonita9697,guatevision_tv,mention
mariabonita9697,hfmarisol,mention
mariabonita9697,hshetemul,mention
mariabonita9697,inabguatemala,mention
mariabonita9697,isapaiz_,mention
mariabonita9697,marnguate,mention
mariabonita9697,nilrilesor,mention
mariabonita9697,pattyo502,mention
mariabonita9697,pedgar05,mention
mariabonita9697,pialaperiodista,mention
mariabonita9697,publinewsgt,mention
mariabonita9697,ricigt1,mention
mariabonita9697,samuel_pz,mention
mariabonita9697,soy_502,mention
mariabonita9697,traficogt,mention
mariabonita9697,cubreserva,reply
nilrilesor,conapgt,mention
nilrilesor,cubreserva,mention
nilrilesor,emisorasunidas,mention
nilrilesor,guatevision_tv,mention
nilrilesor,hfmarisol,mention
nilrilesor,hshetemul,mention
nilrilesor,inabguatemala,mention
nilrilesor,isapaiz_,mention
nilrilesor,marnguate,mention
nilrilesor,pattyo502,mention
nilrilesor,pedgar05,mention
nilrilesor,pialaperiodista,mention
nilrilesor,publinewsgt,mention
nilrilesor,ricigt1,mention
nilrilesor,samuel_pz,mention
nilrilesor,soy_502,mention
nilrilesor,traficogt,mention
nilrilesor,cubreserva,reply
nilrilesor,conapgt,mention
nilrilesor,cubreserva,mention
nilrilesor,emisorasunidas,mention
nilrilesor,guatevision_tv,mention
nilrilesor,hfmarisol,mention
nilrilesor,hshetemul,mention
nilrilesor,inabguatemala,mention
nilrilesor,isapaiz_,mention
nilrilesor,marnguate,mention
nilrilesor,pattyo502,mention
nilrilesor,pedgar05,mention
nilrilesor,pialaperiodista,mention
nilrilesor,publinewsgt,mention
nilrilesor,ricigt1,mention
nilrilesor,samuel_pz,mention
nilrilesor,soy_502,mention
nilrilesor,traficogt,mention
nilrilesor,cubreserva,reply
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,noti7guatemala,mention
alejandro2024gt,traficogt,mention
alejandro2024gt,amilcarmontejo,reply
ricarmy2k,pedgar05,mention
ricarmy2k,traficogt,mention
ricarmy2k,pedgar05,reply
roanchi2,cc_guatemala,mention
roanchi2,figueroasarti,mention
roanchi2,mpguatemala,mention
roanchi2,traficogt,mention
roanchi2,figueroasarti,reply
antoniowohlers,ep_investiga,mention
antoniowohlers,traficogt,mention
antoniowohlers,ep_investiga,reply
antoniowohlers,marvindelcid,mention
antoniowohlers,memguatemala,mention
antoniowohlers,sonny_figueroa,mention
antoniowohlers,traficogt,mention
antoniowohlers,marvindelcid,reply
antoniowohlers,drgiammattei,mention
antoniowohlers,el_periodico,mention
antoniowohlers,pedrobrologt,mention
antoniowohlers,traficogt,mention
antoniowohlers,el_periodico,reply
rogerioescoba10,traficogt,mention
rogerioescoba10,traficogt,reply
lemuslimajulioc,traficogt,mention
lemuslimajulioc,traficogt,reply
bobypineda,amilcarmontejo,mention
bobypineda,muniguate,mention
bobypineda,plazapublicagt,mention
bobypineda,pmtguatemala1,mention
bobypineda,traficogt,mention
diegoespana_,lahoragt,mention
emilioxinico,traficogt,mention
emilioxinico,traficogt,reply
felipes96782816,diegoespana_,mention
felipes96782816,lahoragt,mention
felipes96782816,traficogt,mention
felipes96782816,diegoespana_,reply
natanurizar,traficogt,mention
natanurizar,traficogt,reply
paulo_larioss,traficogt,mention
paulo_larioss,traficogt,reply
paulo_larioss,traficogt,mention
paulo_larioss,paulo_larioss,reply
soypeetamv,conapgt,mention
soypeetamv,cubreserva,mention
soypeetamv,emisorasunidas,mention
soypeetamv,guatevision_tv,mention
soypeetamv,hfmarisol,mention
soypeetamv,hshetemul,mention
soypeetamv,inabguatemala,mention
soypeetamv,isapaiz_,mention
soypeetamv,marnguate,mention
soypeetamv,nilrilesor,mention
soypeetamv,pattyo502,mention
soypeetamv,pedgar05,mention
soypeetamv,pialaperiodista,mention
soypeetamv,publinewsgt,mention
soypeetamv,ricigt1,mention
soypeetamv,samuel_pz,mention
soypeetamv,soy_502,mention
soypeetamv,traficogt,mention
soypeetamv,cubreserva,reply
zerimaral3lh1,conapgt,mention
zerimaral3lh1,cubreserva,mention
zerimaral3lh1,emisorasunidas,mention
zerimaral3lh1,guatevision_tv,mention
zerimaral3lh1,hfmarisol,mention
zerimaral3lh1,hshetemul,mention
zerimaral3lh1,inabguatemala,mention
zerimaral3lh1,isapaiz_,mention
zerimaral3lh1,marnguate,mention
zerimaral3lh1,nilrilesor,mention
zerimaral3lh1,pattyo502,mention
zerimaral3lh1,pedgar05,mention
zerimaral3lh1,pialaperiodista,mention
zerimaral3lh1,publinewsgt,mention
zerimaral3lh1,ricigt1,mention
zerimaral3lh1,samuel_pz,mention
zerimaral3lh1,soy_502,mention
zerimaral3lh1,traficogt,mention
zerimaral3lh1,cubreserva,reply
juan_castaju,conapgt,mention
juan_castaju,cubreserva,mention
juan_castaju,emisorasunidas,mention
juan_castaju,guatevision_tv,mention
juan_castaju,hfmarisol,mention
juan_castaju,hshetemul,mention
juan_castaju,inabguatemala,mention
juan_castaju,isapaiz_,mention
juan_castaju,marnguate,mention
juan_castaju,nilrilesor,mention
juan_castaju,pattyo502,mention
juan_castaju,pedgar05,mention
juan_castaju,pialaperiodista,mention
juan_castaju,publinewsgt,mention
juan_castaju,ricigt1,mention
juan_castaju,samuel_pz,mention
juan_castaju,soy_502,mention
juan_castaju,traficogt,mention
juan_castaju,cubreserva,reply
cubreserva,conapgt,mention
cubreserva,emisorasunidas,mention
cubreserva,guatevision_tv,mention
cubreserva,hfmarisol,mention
cubreserva,hshetemul,mention
cubreserva,inabguatemala,mention
cubreserva,isapaiz_,mention
cubreserva,juan_castaju,mention
cubreserva,marnguate,mention
cubreserva,nilrilesor,mention
cubreserva,pattyo502,mention
cubreserva,pedgar05,mention
cubreserva,pialaperiodista,mention
cubreserva,publinewsgt,mention
cubreserva,ricigt1,mention
cubreserva,samuel_pz,mention
cubreserva,soy_502,mention
cubreserva,traficogt,mention
cubreserva,juan_castaju,reply
dante8219gt,conapgt,mention
dante8219gt,cubreserva,mention
dante8219gt,emisorasunidas,mention
dante8219gt,guatevision_tv,mention
dante8219gt,hfmarisol,mention
dante8219gt,hshetemul,mention
dante8219gt,inabguatemala,mention
dante8219gt,isapaiz_,mention
dante8219gt,marnguate,mention
dante8219gt,nilrilesor,mention
dante8219gt,pattyo502,mention
dante8219gt,pedgar05,mention
dante8219gt,pialaperiodista,mention
dante8219gt,publinewsgt,mention
dante8219gt,ricigt1,mention
dante8219gt,samuel_pz,mention
dante8219gt,soy_502,mention
dante8219gt,traficogt,mention
dante8219gt,cubreserva,reply
adnjernimo1,traficogt,mention
adnjernimo1,traficogt,reply
cdgenesisguate,conapgt,mention
cdgenesisguate,cubreserva,mention
cdgenesisguate,emisorasunidas,mention
cdgenesisguate,guatevision_tv,mention
cdgenesisguate,hfmarisol,mention
cdgenesisguate,hshetemul,mention
cdgenesisguate,inabguatemala,mention
cdgenesisguate,isapaiz_,mention
cdgenesisguate,marnguate,mention
cdgenesisguate,nilrilesor,mention
cdgenesisguate,pattyo502,mention
cdgenesisguate,pedgar05,mention
cdgenesisguate,pialaperiodista,mention
cdgenesisguate,publinewsgt,mention
cdgenesisguate,ricigt1,mention
cdgenesisguate,samuel_pz,mention
cdgenesisguate,soy_502,mention
cdgenesisguate,traficogt,mention
cdgenesisguate,cubreserva,reply
padillarodolfo,lahoragt,mention
padillarodolfo,traficogt,mention
padillarodolfo,lahoragt,reply
erosan3edsa,ep_investiga,mention
erosan3edsa,traficogt,mention
erosan3edsa,ep_investiga,reply
erosan3edsa,guatemalagob,mention
erosan3edsa,infobaeamerica,mention
erosan3edsa,mpguatemala,mention
erosan3edsa,traficogt,mention
erosan3edsa,vicentecarrera_,mention
erosan3edsa,vicentecarrera_,reply
felipes96782816,ricigt1,mention
felipes96782816,traficogt,mention
felipes96782816,ricigt1,reply
manfredoguate,abbffon,mention
manfredoguate,abbffon,reply
licmariorubio,luisala61253973,mention
licmariorubio,manfredoguate,mention
licmariorubio,thelmaaldana,mention
licmariorubio,traficogt,mention
licmariorubio,luisala61253973,reply
mylemlem,luisala61253973,mention
mylemlem,manfredoguate,mention
mylemlem,thelmaaldana,mention
mylemlem,traficogt,mention
mylemlem,luisala61253973,reply
lajudaica,luisala61253973,mention
lajudaica,manfredoguate,mention
lajudaica,thelmaaldana,mention
lajudaica,traficogt,mention
lajudaica,luisala61253973,reply
julioca75923080,luisala61253973,mention
julioca75923080,manfredoguate,mention
julioca75923080,thelmaaldana,mention
julioca75923080,traficogt,mention
julioca75923080,luisala61253973,reply
lajudaica,luisala61253973,mention
lajudaica,manfredoguate,mention
lajudaica,thelmaaldana,mention
lajudaica,traficogt,mention
lajudaica,luisala61253973,reply
foho240,manfredoguate,mention
foho240,traficogt,mention
foho240,manfredoguate,reply
axelgod45233014,republicagt,mention
axelgod45233014,traficogt,mention
axelgod45233014,republicagt,reply
roanchi2,domingo94096837,mention
roanchi2,traficogt,mention
roanchi2,domingo94096837,reply
edberb,traficogt,mention
edberb,wuatemalteco,mention
edberb,wuatemalteco,reply
doloresflo23,cangguatemala,mention
doloresflo23,guatevisible,mention
doloresflo23,traficogt,mention
doloresflo23,guatevisible,reply
vozdeltuit,chatagira,mention
cacifguatemala,ciengt,mention
cacifguatemala,industriaguate,mention
cacifguatemala,mpguatemala,mention
noficciongt,catarina_rh,mention
mesas752066,mineducgt,mention
mesas752066,traficogt,mention
mesas752066,traficogt,reply
sapinho1980,congresoguate,mention
sapinho1980,traficogt,mention
sapinho1980,traficogt,reply
georgecamposb,fiscalnvicto,mention
georgecamposb,traficogt,mention
georgecamposb,fiscalnvicto,reply
coperni00829097,bancadasemilla,mention
coperni00829097,traficogt,mention
coperni00829097,bancadasemilla,reply
papaabumario,lahoragt,mention
papaabumario,traficogt,mention
papaabumario,lahoragt,reply
papaabumario,lahoragt,mention
papaabumario,traficogt,mention
papaabumario,lahoragt,reply
c_herrarte,mofilu,mention
c_herrarte,muniguate,mention
c_herrarte,traficogt,mention
c_herrarte,mofilu,reply
byron96324753,comunicaverte_,mention
byron96324753,traficogt,mention
byron96324753,comunicaverte_,reply
victorp95913830,darwinhk,mention
victorp95913830,feci_mp,mention
victorp95913830,mpguatemala,mention
victorp95913830,traficogt,mention
victorp95913830,darwinhk,reply
7ab3e6a4505c45d,alvarotopis,mention
7ab3e6a4505c45d,mixco,mention
7ab3e6a4505c45d,traficogt,mention
7ab3e6a4505c45d,alvarotopis,reply
salem_joaquin,darwinhk,mention
salem_joaquin,traficogt,mention
salem_joaquin,darwinhk,reply
9610366palomo,igss_gt,mention
9610366palomo,josechic86,mention
9610366palomo,traficogt,mention
9610366palomo,josechic86,reply
victorp95913830,barevalodeleon,mention
victorp95913830,cidh,mention
victorp95913830,el_periodico,mention
victorp95913830,jczamora,mention
victorp95913830,mpguatemala,mention
victorp95913830,mpguatemala_en,mention
victorp95913830,oacnudh,mention
victorp95913830,pvacav,mention
victorp95913830,rcurruchic25741,mention
victorp95913830,rele_cidh,mention
victorp95913830,statedept,mention
victorp95913830,traficogt,mention
victorp95913830,usembassyguate,mention
victorp95913830,jczamora,reply
eddycru95594848,comunicaverte_,mention
eddycru95594848,traficogt,mention
eddycru95594848,comunicaverte_,reply
grismds,laprensa_deoc,mention
grismds,traficogt,mention
grismds,laprensa_deoc,reply
lmlemush,factor4_gt,mention
lmlemush,traficogt,mention
lmlemush,factor4_gt,reply
lmlemush,dfernandezg,mention
lmlemush,traficogt,mention
lmlemush,dfernandezg,reply
miss_pattygt,cicloscap,mention
miss_pattygt,dirlyngge,mention
miss_pattygt,egutierrezgiron,mention
miss_pattygt,joseagrysian,mention
miss_pattygt,kristhalfgr,mention
miss_pattygt,marielosmonzon,mention
miss_pattygt,marycarr09,mention
miss_pattygt,ndiguate,mention
miss_pattygt,rompeelmiedogt,mention
miss_pattygt,toro_esco,mention
miss_pattygt,traficogt,mention
miss_pattygt,cicloscap,reply
lacupicu,manfredoguate,mention
lacupicu,traficogt,mention
lacupicu,manfredoguate,reply
carecaite,byron96324753,mention
carecaite,comunicaverte_,mention
carecaite,traficogt,mention
carecaite,byron96324753,reply
batallonjalapa,bancadasemilla,mention
batallonjalapa,traficogt,mention
batallonjalapa,bancadasemilla,reply
mpguatemala,cc_guatemala,mention
emisorasunidas,mpguatemala,mention
figueroasarti,mpguatemala,mention
lilianmerlo,traficogt,mention
lilianmerlo,traficogt,reply
batallonjalapa,cc_guatemala,mention
batallonjalapa,figueroasarti,mention
batallonjalapa,mpguatemala,mention
batallonjalapa,traficogt,mention
batallonjalapa,figueroasarti,reply
batallonjalapa,traficogt,mention
batallonjalapa,traficogt,reply
batallonjalapa,traficogt,mention
batallonjalapa,traficogt,reply
eduardo16579,traficogt,mention
eduardo16579,traficogt,reply
cecastillog2012,traficogt,mention
cecastillog2012,traficogt,reply
cefvpolo,cc_guatemala,mention
cefvpolo,figueroasarti,mention
cefvpolo,mpguatemala,mention
cefvpolo,traficogt,mention
cefvpolo,figueroasarti,reply
traficogt,barevalodeleon,mention
luisma_2023,samuel_pz,mention
luisma_2023,traficogt,mention
luisma_2023,samuel_pz,reply
edperezgt,samuel_pz,mention
edperezgt,traficogt,mention
edperezgt,samuel_pz,reply
sandrap28336385,quorumgt,mention
sandrap28336385,traficogt,mention
sandrap28336385,quorumgt,reply
pilla_mar,barevalodeleon,mention
pilla_mar,congresoguate,mention
pilla_mar,traficogt,mention
pilla_mar,traficogt,reply
mabcastillo,barevalodeleon,mention
mabcastillo,traficogt,mention
mabcastillo,traficogt,reply
coolgear20,traficogt,mention
coolgear20,traficogt,reply
alterlego502,barevalodeleon,mention
alterlego502,congresoguate,mention
figueroasarti,cc_guatemala,mention
traficogt,rmendezruiz,mention
chikistrickys,traficogt,mention
chikistrickys,traficogt,reply
chikistrickys,traficogt,mention
chikistrickys,traficogt,reply
zacapaneco5,anthonyblinken9,mention
zacapaneco5,cacifguatemala,mention
zacapaneco5,cokyblancot,mention
zacapaneco5,figueroasarti,mention
zacapaneco5,mpguatemala,mention
zacapaneco5,traficogt,mention
zacapaneco5,cokyblancot,reply
francis52987990,traficogt,mention
francis52987990,traficogt,reply
francis52987990,congresoguate,mention
francis52987990,ep_investiga,mention
francis52987990,traficogt,mention
francis52987990,ep_investiga,reply
piedelana502gt,traficogt,mention
piedelana502gt,traficogt,reply
alejandro2024gt,amilcarmontejo,mention
alejandro2024gt,traficogt,mention
alejandro2024gt,amilcarmontejo,reply
batallonjalapa,hsanchezgt,mention
batallonjalapa,traficogt,mention
batallonjalapa,hsanchezgt,reply
sigridcleaves,el_periodico,mention
sigridcleaves,traficogt,mention
sigridcleaves,el_periodico,reply
sigridcleaves,justiciayagt,mention
sigridcleaves,traficogt,mention
sigridcleaves,justiciayagt,reply
sigridcleaves,congresoguate,mention
sigridcleaves,mmendoza_gt,mention
sigridcleaves,traficogt,mention
sigridcleaves,mmendoza_gt,reply
mayorgajoselit,alvasol_,mention
mayorgajoselit,traficogt,mention
mayorgajoselit,alvasol_,reply
mikepad87,traficogt,mention
mikepad87,traficogt,reply
paulo_larioss,barevalodeleon,mention
paulo_larioss,traficogt,mention
paulo_larioss,traficogt,reply
josehpmi87,barevalodeleon,mention
josehpmi87,traficogt,mention
josehpmi87,traficogt,reply
angeldaemonn,barevalodeleon,mention
angeldaemonn,quinonezli99406,mention
angeldaemonn,traficogt,mention
angeldaemonn,quinonezli99406,reply
factor4_gt,barevalodeleon,mention
factor4_gt,congresoguate,mention
factor4_gt,guatemalagob,mention
factor4_gt,karinherreravp,mention
factor4_gt,kongatot,mention
traficogt,drgiammattei,mention
eduardo16579,drgiammattei,mention
eduardo16579,traficogt,mention
eduardo16579,traficogt,reply
ochaclanc,alex_balsells,mention
ochaclanc,traficogt,mention
ochaclanc,alex_balsells,reply
batallonjalapa,alex_balsells,mention
batallonjalapa,traficogt,mention
batallonjalapa,alex_balsells,reply
batallonjalapa,barevalodeleon,mention
batallonjalapa,traficogt,mention
batallonjalapa,yoeldeleon23,mention
batallonjalapa,yoeldeleon23,reply
traficogt,barevalodeleon,mention
georgecamposb,barevalodeleon,mention
georgecamposb,traficogt,mention
georgecamposb,yoeldeleon23,mention
georgecamposb,yoeldeleon23,reply
georgecamposb,barevalodeleon,mention
georgecamposb,traficogt,mention
georgecamposb,traficogt,reply
maco_zelada,barevalodeleon,mention
maco_zelada,traficogt,mention
maco_zelada,traficogt,reply
rosario96501677,barevalodeleon,mention
rosario96501677,traficogt,mention
rosario96501677,traficogt,reply
_r__x_,barevalodeleon,mention
_r__x_,traficogt,mention
_r__x_,traficogt,reply
_r__x_,barevalodeleon,mention
_r__x_,traficogt,mention
_r__x_,traficogt,reply
csarmolbar,barevalodeleon,mention
csarmolbar,rosario96501677,mention
csarmolbar,traficogt,mention
csarmolbar,rosario96501677,reply
vicky_alvarez81,barevalodeleon,mention
vicky_alvarez81,traficogt,mention
vicky_alvarez81,traficogt,reply
kedrako1,barevalodeleon,mention
kedrako1,traficogt,mention
kedrako1,traficogt,reply
innovacion30001,aifanerika,mention
innovacion30001,traficogt,mention
innovacion30001,aifanerika,reply
angeln8,pmtmuniguate,mention
angeln8,prensa_libre,mention
angeln8,traficogt,mention
angeln8,pmtmuniguate,reply
angeln8,pmtmuniguate,mention
angeln8,prensa_libre,mention
angeln8,traficogt,mention
an0n1mu5s,barevalodeleon,mention
an0n1mu5s,traficogt,mention
an0n1mu5s,traficogt,reply
av9517211981642,beteta2_hugo,mention
av9517211981642,traficogt,mention
av9517211981642,beteta2_hugo,reply
moralesazo,barevalodeleon,mention
moralesazo,traficogt,mention
moralesazo,traficogt,reply
francis52987990,barevalodeleon,mention
francis52987990,traficogt,mention
francis52987990,traficogt,reply
cohen13henry,agenciaocote,mention
cohen13henry,andreakomio,mention
cohen13henry,barevalodeleon,mention
cohen13henry,cmendeza,mention
cohen13henry,j_alexvaldez,mention
cohen13henry,jczamora,mention
cohen13henry,jodyreporta,mention
cohen13henry,kimyorion,mention
cohen13henry,marielosmonzon,mention
cohen13henry,mmendoza_gt,mention
cohen13henry,pacogoldman,mention
cohen13henry,prensacomunitar,mention
cohen13henry,traficogt,mention
cohen13henry,jczamora,reply
sigridrm,barevalodeleon,mention
sigridrm,rosario96501677,mention
sigridrm,traficogt,mention
sigridrm,rosario96501677,reply
julioca75923080,barevalodeleon,mention
julioca75923080,traficogt,mention
julioca75923080,traficogt,reply
miguel_artiga,samuel_pz,mention
miguel_artiga,traficogt,mention
miguel_artiga,samuel_pz,reply
varrecisg,traficogt,mention
tinysz,ingamedina,mention
tinysz,traficogt,mention
tinysz,ingamedina,reply
gonzalezlesbia,emisorasunidas,mention
gonzalezlesbia,traficogt,mention
gonzalezlesbia,emisorasunidas,reply
godofeafc,marieloscm,mention
godofeafc,traficogt,mention
godofeafc,marieloscm,reply
batallonjalapa,hshetemul,mention
batallonjalapa,traficogt,mention
batallonjalapa,hshetemul,reply
batallonjalapa,prensacomunitar,mention
batallonjalapa,traficogt,mention
batallonjalapa,prensacomunitar,reply
batallonjalapa,traficogt,mention
batallonjalapa,wergabriel,mention
batallonjalapa,wergabriel,reply
papaabumario,traficogt,mention
papaabumario,traficogt,reply
analuisamirand8,jeanellydvg,mention
analuisamirand8,quorumgt,mention
analuisamirand8,traficogt,mention
analuisamirand8,quorumgt,reply
superguicho,traficogt,mention
superguicho,traficogt,reply
veredignaguilar,traficogt,mention
veredignaguilar,traficogt,reply
esta_busqueda,congresoguate,mention
gersonbarrera,marieloscm,mention
gersonbarrera,traficogt,mention
gersonbarrera,marieloscm,reply
selvinf78069837,manfredoguate,mention
selvinf78069837,traficogt,mention
